page,player_number,player_name,status,saved_file
1,1,Virat Kohli,saved,001_Virat_Kohli.jpeg
2,2,Rohit Sharma,saved,002_Rohit_Sharma.jpeg
3,3,Suryakumar Yadav,saved,003_Suryakumar_Yadav.jpeg
4,4,Shubman Gill,saved,004_Shubman_Gill.jpeg
5,5,Yashasvi Jaiswal,saved,005_Yashasvi_Jaiswal.png
6,6,Ruturaj Gaikwad,saved,006_Ruturaj_Gaikwad.png
7,7,Travis Head,saved,007_Travis_Head.png
8,8,Shreyas Iyer,saved,008_Shreyas_Iyer.png
9,9,Sai Sudharsan,saved,009_Sai_Sudharsan.jpeg
10,10,Rinku Singh,saved,010_Rinku_Singh.jpeg
11,11,Rajat Patidar,saved,011_Rajat_Patidar.png
12,12,Tilak Varma,saved,012_Tilak_Varma.jpeg
13,13,David Miller,saved,013_David_Miller.jpeg
14,14,Tristan Stubbs,saved,014_Tristan_Stubbs.png
15,15,Rishabh Pant,saved,015_Rishabh_Pant.jpeg
16,16,Heinrich Klaasen,saved,016_Heinrich_Klaasen.png
17,17,Nicholas Pooran,saved,017_Nicholas_Pooran.jpeg
18,18,Sanju Samson,saved,018_Sanju_Samson.jpeg
19,19,Jos Buttler,saved,019_Jos_Buttler.jpeg
20,20,KL Rahul,saved,020_KL_Rahul.jpeg
21,21,Quinton de Kock,saved,021_Quinton_de_Kock.jpeg
22,22,Ishan Kishan,saved,022_Ishan_Kishan.png
23,23,Phil Salt,saved,023_Phil_Salt.png
24,24,MS Dhoni,saved,024_MS_Dhoni.png
25,25,Rahmanullah,saved,025_Rahmanullah.png
26,26,Jitesh Sharma,saved,026_Jitesh_Sharma.png
27,27,Josh Inglis,saved,027_Josh_Inglis.png
28,28,Dhruv Jurel,saved,028_Dhruv_Jurel.jpeg
29,29,Hardik Pandya,saved,029_Hardik_Pandya.jpeg
30,30,Ravindra Jadeja,saved,030_Ravindra_Jadeja.jpeg
31,31,Cameron Green,saved,031_Cameron_Green.png
32,33,Axar Patel,saved,033_Axar_Patel.jpeg
33,34,Glenn Maxwell,saved,034_Glenn_Maxwell.jpeg
34,35,Liam Livingstone,saved,035_Liam_Livingstone.png
35,36,Mitchell Marsh,saved,036_Mitchell_Marsh.jpeg
36,37,Nitish Kumar Reddy,saved,037_Nitish_Kumar_Reddy.png
37,38,Marcus Stoinis,saved,038_Marcus_Stoinis.png
38,39,Sam Curran,saved,039_Sam_Curran.png
39,40,Abhishek Sharma,saved,040_Abhishek_Sharma.jpeg
40,41,Venkatesh Iyer,saved,041_Venkatesh_Iyer.jpeg
41,42,Washington Sundar,saved,042_Washington_Sundar.jpeg
42,43,Jasprit Bumrah,saved,043_Jasprit_Bumrah.jpeg
43,44,Pat Cummins,saved,044_Pat_Cummins.jpeg
44,45,Mitchell Starc,saved,045_Mitchell_Starc.png
45,46,Arshdeep Singh,saved,046_Arshdeep_Singh.jpeg
46,47,Trent Boult,saved,047_Trent_Boult.jpeg
47,48,Mohammed Shami,saved,048_Mohammed_Shami.jpeg
48,49,Mohammed Siraj,saved,049_Mohammed_Siraj.jpeg
49,50,Matheesha Pathirana,saved,050_Matheesha_Pathirana.png
50,51,Harshit Rana,saved,051_Harshit_Rana.jpeg
51,52,Mayank Yadav,saved,052_Mayank_Yadav.jpeg
52,53,Prasidh Krishna,saved,053_Prasidh_Krishna.jpeg
53,54,Josh Hazlewood,saved,054_Josh_Hazlewood.jpeg
54,55,Jofra Archer,saved,055_Jofra_Archer.jpeg
55,56,Sandeep Sharma,saved,056_Sandeep_Sharma.png
56,57,Rashid Khan,saved,057_Rashid_Khan.jpeg
57,58,Yuzvendra Chahal,saved,058_Yuzvendra_Chahal.jpeg
58,59,Kuldeep Yadav,saved,059_Kuldeep_Yadav.jpeg
59,60,Ravi Bishnoi,saved,060_Ravi_Bishnoi.jpeg
60,61,Varun Chakaravarthy,saved,061_Varun_Chakaravarthy.jpeg
61,62,Wanindu Hasaranga,saved,062_Wanindu_Hasaranga.png
62,63,Maheesh Theekshana,saved,063_Maheesh_Theekshana.jpeg
63,64,Ravichandran Ashwin,saved,064_Ravichandran_Ashwin.png
64,65,Adam Zampa,saved,065_Adam_Zampa.jpeg
65,66,Noor Ahmad,saved,066_Noor_Ahmad.jpeg
66,67,R Sai Kishore,saved,067_R_Sai_Kishore.jpeg
67,68,Adil Rashid,saved,068_Adil_Rashid.png
68,69,Tabraiz Shamsi,saved,069_Tabraiz_Shamsi.jpeg
69,70,Rahul Chahar,saved,070_Rahul_Chahar.jpeg
70,71,Harry Brook,saved,071_Harry_Brook.png
71,72,Manish Pandey,saved,072_Manish_Pandey.png
72,73,Ayush Badoni,saved,073_Ayush_Badoni.jpeg
73,74,Nehal Wadhera,saved,074_Nehal_Wadhera.png
74,75,Jake Fraser-McGurk,saved,075_Jake_Fraser-McGurk.png
75,76,Rovman Powell,saved,076_Rovman_Powell.jpeg
76,77,Shimron Hetmyer,saved,077_Shimron_Hetmyer.jpeg
77,78,Aiden Markram,saved,078_Aiden_Markram.png
78,79,Tim David,saved,079_Tim_David.jpeg
79,80,Glen Phillips,saved,080_Glen_Phillips.png
80,81,Devdutt Padikkal,saved,081_Devdutt_Padikkal.png
81,82,Prithvi Shaw,saved,082_Prithvi_Shaw.png
82,83,Rahul Tripathi,saved,083_Rahul_Tripathi.jpeg
83,84,Kane Williamson,saved,084_Kane_Williamson.png
84,85,Prabhsimran Singh,saved,085_Prabhsimran_Singh.png
85,86,Ryan Rickelton,saved,086_Ryan_Rickelton.jpeg
86,87,Shai Hope,saved,087_Shai_Hope.jpeg
87,88,Kusal Mendis,saved,088_Kusal_Mendis.png
88,89,Matthew Wade,saved,089_Matthew_Wade.jpeg
89,90,KS Bharat,saved,090_KS_Bharat.png
90,91,Anuj Rawat,saved,091_Anuj_Rawat.png
91,92,Litton Das,saved,092_Litton_Das.jpeg
92,93,Upendra Yadav,saved,093_Upendra_Yadav.jpeg
93,94,Donovan Ferreira,saved,094_Donovan_Ferreira.png
94,95,Tom Banton,saved,095_Tom_Banton.png
95,96,B.R. Sharath,saved,096_BR_Sharath.jpeg
96,97,Vishnu Vinod,saved,097_Vishnu_Vinod.jpeg
97,98,Abishek Porel,saved,098_Abishek_Porel.jpeg
98,99,Johnny Bairstow.,saved,099_Johnny_Bairstow.png
99,100,Marco Jansen,saved,100_Marco_Jansen.jpeg
100,101,Romario Shepherd,saved,101_Romario_Shepherd.jpeg
101,102,Deepak Hooda,saved,102_Deepak_Hooda.png
102,103,Krunal Pandya,saved,103_Krunal_Pandya.png
103,104,Shardul Thakur,saved,104_Shardul_Thakur.jpeg
104,105,Vijay Shankar,saved,105_Vijay_Shankar.png
105,106,Shivam Dube,saved,106_Shivam_Dube.jpeg
106,107,Riyan Parag,saved,107_Riyan_Parag.jpeg
107,108,Jason Holder,saved,108_Jason_Holder.png
108,109,Azmatullah,saved,109_Azmatullah.png
109,110,Moeen Ali,saved,110_Moeen_Ali.jpeg
110,111,Sherfane Rutherford,saved,111_Sherfane_Rutherford.jpeg
111,112,Daryl Mitchell,saved,112_Daryl_Mitchell.png
112,113,Harshal Patel,saved,113_Harshal_Patel.png
113,114,Avesh Khan,saved,114_Avesh_Khan.jpeg
114,115,Khaleel Ahmed,saved,115_Khaleel_Ahmed.png
115,116,Tushar Deshpande,saved,116_Tushar_Deshpande.png
116,117,Mukesh Kumar,saved,117_Mukesh_Kumar.jpeg
117,118,Deepak Chahar,saved,118_Deepak_Chahar.png
118,119,Lockie Ferguson,saved,119_Lockie_Ferguson.jpeg
119,120,Alzarri Joseph,saved,120_Alzarri_Joseph.jpeg
120,121,Spencer Johnson,saved,121_Spencer_Johnson.jpeg
121,122,Nandre Burger,saved,122_Nandre_Burger.png
122,123,Naveen-ul-Haq,saved,123_Naveen-ul-Haq.jpeg
123,124,Yash Dayal,saved,124_Yash_Dayal.png
124,125,Fazalhaq Farooqi,saved,125_Fazalhaq_Farooqi.jpeg
125,126,T Natarajan,saved,126_T_Natarajan.png
126,127,R Sai Kishore,saved,127_R_Sai_Kishore.jpeg
127,128,Piyush Chawla,saved,128_Piyush_Chawla.png
128,129,Mayank Markande,saved,129_Mayank_Markande.png
129,130,Amit Mishra,saved,130_Amit_Mishra.jpeg
130,131,Karn Sharma,saved,131_Karn_Sharma.png
131,132,Suyash Sharma,saved,132_Suyash_Sharma.png
132,133,Mitchell Santner,saved,133_Mitchell_Santner.jpeg
133,134,Mujeeb Ur Rahman,saved,134_Mujeeb_Ur_Rahman.jpeg
134,135,Keshav Maharaj,saved,135_Keshav_Maharaj.png
135,136,Gudakesh Motie,saved,136_Gudakesh_Motie.jpeg
136,137,Allah Ghazanfar,saved,137_Allah_Ghazanfar.jpeg
137,138,Waqar Salamkheil,saved,138_Waqar_Salamkheil.png
138,139,Qais Ahmad,saved,139_Qais_Ahmad.jpeg
139,140,Viyaskanth,saved,140_Viyaskanth.jpeg
140,141,Ajinkya Rahane,saved,141_Ajinkya_Rahane.png
141,142,Mayank Agarwal,saved,142_Mayank_Agarwal.png
142,143,Nitish Rana,saved,143_Nitish_Rana.jpeg
143,144,Shahrukh Khan,saved,144_Shahrukh_Khan.png
144,145,Angkrish,saved,145_Angkrish.jpeg
145,146,Sameer Rizvi,saved,146_Sameer_Rizvi.png
146,147,Abhinav Manohar,saved,147_Abhinav_Manohar.jpeg
147,148,Karun Nair,saved,148_Karun_Nair.jpeg
148,149,Jason Roy,saved,149_Jason_Roy.png
149,150,Finn Allen,saved,150_Finn_Allen.png
150,151,Steve Smith,saved,151_Steve_Smith.jpeg
151,152,Bhanuka,saved,152_Bhanuka.png
152,153,Sarfaraz Khan,saved,153_Sarfaraz_Khan.png
153,154,Joe Root,saved,154_Joe_Root.png
154,155,Narayan,saved,155_Narayan.png
155,156,Luvnith Sisodia,saved,156_Luvnith_Sisodia.jpeg
156,157,Harvik Desai,saved,157_Harvik_Desai.png
157,158,Tom Kohler-,saved,158_Tom_Kohler-.png
158,159,Sam Billings,saved,159_Sam_Billings.png
159,160,Tim Seifert,saved,160_Tim_Seifert.png
160,161,Andre Fletcher,saved,161_Andre_Fletcher.jpeg
161,162,Johnson Charles,saved,162_Johnson_Charles.jpeg
162,163,Ben McDermott,saved,163_Ben_McDermott.jpeg
163,164,Lorcan Tucker,saved,164_Lorcan_Tucker.jpeg
164,165,Alex Carey,saved,165_Alex_Carey.jpeg
165,166,Scott Edwards,saved,166_Scott_Edwards.jpeg
166,167,Mohammad Haris,saved,167_Mohammad_Haris.jpeg
167,168,Sheldon Jackson,saved,168_Sheldon_Jackson.jpeg
168,169,Naman Dhir,saved,169_Naman_Dhir.jpeg
169,170,Shahbaz Ahmed,saved,170_Shahbaz_Ahmed.png
170,171,Krishnappa,saved,171_Krishnappa.jpeg
171,172,Anshul Kamboj,saved,172_Anshul_Kamboj.png
172,173,Mahipal Lomror,saved,173_Mahipal_Lomror.jpeg
173,174,Sanvir Singh,saved,174_Sanvir_Singh.png
174,175,Daniel Sams,saved,175_Daniel_Sams.jpeg
175,176,Sikandar Raza,saved,176_Sikandar_Raza.png
176,177,Wian Mulder,saved,177_Wian_Mulder.jpeg
177,178,Fabian Allen,saved,178_Fabian_Allen.jpeg
178,179,Karim Janat,saved,179_Karim_Janat.png
179,180,Mohammad Nabi,saved,180_Mohammad_Nabi.jpeg
180,181,Dasun Shanaka,saved,181_Dasun_Shanaka.jpeg
181,182,Jimmy Neesham,saved,182_Jimmy_Neesham.jpeg
182,183,Umran Malik,saved,183_Umran_Malik.png
183,184,Chetan Sakariya,saved,184_Chetan_Sakariya.jpeg
184,185,Kamlesh Nagarkoti,saved,185_Kamlesh_Nagarkoti.png
185,186,Yash Thakur,saved,186_Yash_Thakur.png
186,187,Rasikh Dar,saved,187_Rasikh_Dar.png
187,188,Mohit Sharma,saved,188_Mohit_Sharma.png
188,189,Jhye Richardson,saved,189_Jhye_Richardson.png
189,190,Dilshan,saved,190_Dilshan.jpeg
190,191,Lance Morris,saved,191_Lance_Morris.jpeg
191,192,Reece Topley,saved,192_Reece_Topley.jpeg
192,193,Richard Ngarava,saved,193_Richard_Ngarava.jpeg
193,194,Umesh Yadav,saved,194_Umesh_Yadav.jpeg
194,195,Ishant Sharma,saved,195_Ishant_Sharma.jpeg
195,196,Jaydev Unadkat,saved,196_Jaydev_Unadkat.jpeg
196,197,Manav Suthar,saved,197_Manav_Suthar.jpeg
197,198,Kumar Kartikeya,saved,198_Kumar_Kartikeya.jpeg
198,199,Hrithik Shokeen,saved,199_Hrithik_Shokeen.jpeg
199,200,Mayank Dagar,saved,200_Mayank_Dagar.jpeg
200,201,Jagadeesha,saved,201_Jagadeesha.jpeg
201,202,Ish Sodhi,saved,202_Ish_Sodhi.png
202,203,Dunith Wellalage,saved,203_Dunith_Wellalage.png
203,204,Ayan Afzal Khan,saved,204_Ayan_Afzal_Khan.png
